,label,filePath
0,1,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\1.wav
1,2,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\2.wav
2,3,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\3.wav
3,4,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\4.wav
4,5,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\5.wav
5,6,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\6.wav
6,7,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\7.wav
7,8,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\8.wav
8,9,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\9.wav
9,10,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\10.wav
10,11,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\11.wav
11,12,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\12.wav
12,13,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\13.wav
13,14,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\14.wav
14,15,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\15.wav
15,16,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\16.wav
16,17,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\17.wav
17,18,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song21\18.wav
18,1,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\1.wav
19,2,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\2.wav
20,3,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\3.wav
21,4,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\4.wav
22,5,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\5.wav
23,6,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\6.wav
24,7,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\7.wav
25,8,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\8.wav
26,9,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\9.wav
27,10,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\10.wav
28,11,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\11.wav
29,12,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\12.wav
30,13,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\13.wav
31,14,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\14.wav
32,15,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\15.wav
33,16,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\16.wav
34,17,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\17.wav
35,18,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\18.wav
36,19,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\19.wav
37,20,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\20.wav
38,21,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\21.wav
39,22,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\22.wav
40,23,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song22\23.wav
41,1,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\1.wav
42,2,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\2.wav
43,3,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\3.wav
44,4,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\4.wav
45,5,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\5.wav
46,6,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\6.wav
47,7,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\7.wav
48,8,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\8.wav
49,9,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\9.wav
50,10,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\10.wav
51,11,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\11.wav
52,12,C:\Users\sasch\Music\Music_Soundcloud\Samples\Song23\12.wav
